ID,Labels
1,ORG-1-2
2,LOC-1
3,
4,
5,
6,
7,
8,
9,
10,PER-4
11,LOC-6
12,LOC-1
13,LOC-3-4
14,LOC-10-11
15,
16,
17,
18,
19,
20,LOC-1
21,LOC-1
22,LOC-1 LOC-7 ORG-20
23,ORG-28
24,LOC-1
25,LOC-11
26,
27,LOC-1 LOC-3-4
28,LOC-8-9 LOC-11 LOC-15
29,
30,LOC-2 MISC-4 MISC-31 LOC-39 LOC-45-46
31,LOC-3-4-5
32,LOC-1 LOC-6-7-8
33,LOC-10 LOC-22-23 MISC-25
34,LOC-1-2 MISC-5
35,LOC-1-2
36,LOC-9 LOC-25
37,PER-16-17 LOC-19 LOC-30 PER-33 PER-35-36
38,PER-33
39,MISC-9 PER-11
40,PER-5-6 LOC-12-13 LOC-18 LOC-34 LOC-40
41,MISC-22-23
42,LOC-5-6 LOC-17 MISC-29
43,LOC-13
44,LOC-1 LOC-14
45,
46,LOC-4
47,PER-6-7-8 PER-15-16-17
48,
49,ORG-1 PER-16-17-18 LOC-29 PER-31
50,PER-13-14
51,PER-20-21
52,PER-3-4 PER-25-26-27
53,PER-15
54,PER-5-6-7 PER-17-18-19 LOC-35
55,PER-6-7 LOC-22
56,ORG-1-2 ORG-4-5-6-7
57,ORG-1
58,
59,ORG-1 ORG-3-4
60,LOC-3 LOC-5 MISC-7-8-9
61,LOC-1 LOC-3
62,MISC-3
63,LOC-1 LOC-4 PER-12-13 PER-18-19
64,
65,
66,LOC-3
67,LOC-2 LOC-4 LOC-14 LOC-16
68,PER-7-8 PER-19-20 PER-22-23-24-25-26 ORG-28 PER-30-31 PER-34-35
69,PER-1 LOC-6
70,LOC-7 LOC-9 PER-19-20 MISC-38-39-40
71,LOC-3 LOC-5-6
72,
73,LOC-2 LOC-4 LOC-6-7 MISC-17
74,PER-3-4 PER-9-10 PER-15-16 PER-23-24
75,
76,MISC-3-4
77,ORG-1
78,MISC-9 MISC-16
79,PER-2-3 LOC-5 PER-12-13-14 LOC-16 PER-23
80,PER-2-3 LOC-5
81,PER-2-3-4 LOC-6
82,PER-2-3
83,PER-2-3
84,PER-2-3 LOC-5 PER-12-13 LOC-15
85,PER-2-3 PER-9-10 PER-16-17 LOC-19 PER-26-27 PER-33-34 LOC-36 PER-43-44 LOC-46
86,PER-2 PER-9-10 PER-16-17 LOC-19 PER-27 PER-33-34 LOC-36
87,PER-2-3 PER-9-10 PER-16-17 LOC-19 PER-26-27
88,LOC-3
89,LOC-1 LOC-3-4
90,LOC-1 LOC-4-5 MISC-16
91,
92,LOC-1-2 PER-4-5-6
93,LOC-1 PER-3-4 PER-9-10
94,
95,LOC-5
96,ORG-1
97,LOC-1 LOC-3 LOC-11
